city,timestamp,temperature,season
New York,2010-01-01,2.6139894748594648,winter
New York,2010-01-02,2.3767964055722612,winter
New York,2010-01-03,-6.475418894897974,winter
New York,2010-01-04,1.745117266652902,winter
New York,2010-01-05,-1.8535352107048044,winter
New York,2010-01-06,1.5713068138546296,winter
New York,2010-01-07,6.7951087506689785,winter
New York,2010-01-08,-2.3778512425401734,winter
New York,2010-01-09,-2.988656646440723,winter
New York,2010-01-10,-1.723679200992862,winter
New York,2010-01-11,-1.307326514158937,winter
New York,2010-01-12,-1.1437432244335817,winter
New York,2010-01-13,-6.1135870420083265,winter
New York,2010-01-14,-3.972700160246148,winter
New York,2010-01-15,-5.851733485044229,winter
New York,2010-01-16,5.716934550531528,winter
New York,2010-01-17,-2.273231524824883,winter
New York,2010-01-18,-2.1873066617965096,winter
New York,2010-01-19,5.609952461779185,winter
New York,2010-01-20,-1.2663662147660069,winter
New York,2010-01-21,3.313833554581356,winter
New York,2010-01-22,5.234423009464132,winter
New York,2010-01-23,-2.5561312948222836,winter
New York,2010-01-24,4.425548916571629,winter
New York,2010-01-25,-1.2729232240694979,winter
New York,2010-01-26,0.7703567260291327,winter
New York,2010-01-27,-2.194419463647091,winter
New York,2010-01-28,2.257566672504652,winter
New York,2010-01-29,-5.524405308392279,winter
New York,2010-01-30,-4.239269761039879,winter
New York,2010-01-31,-3.976015040601541,winter
New York,2010-02-01,6.3299330140029255,winter
New York,2010-02-02,-1.854820749881911,winter
New York,2010-02-03,2.517476569211202,winter
New York,2010-02-04,5.371409365258558,winter
New York,2010-02-05,1.611675804531346,winter
New York,2010-02-06,8.833583846075534,winter
New York,2010-02-07,-2.0009607200233486,winter
New York,2010-02-08,-4.111022116737345,winter
New York,2010-02-09,-8.473082302468859,winter
New York,2010-02-10,-1.8635435975377082,winter
New York,2010-02-11,-6.819150660684375,winter
New York,2010-02-12,2.6399849343689614,winter
New York,2010-02-13,-0.6013621372770708,winter
New York,2010-02-14,-3.7153160208030087,winter
New York,2010-02-15,5.072240368604649,winter
New York,2010-02-16,-4.468447434676524,winter
New York,2010-02-17,5.913611206280712,winter
New York,2010-02-18,7.024544208639569,winter
New York,2010-02-19,0.41270087735818906,winter
New York,2010-02-20,3.9843165205235915,winter
